run	slide	treatment	jobs	groups	frames	seconds	fps_capture
old-s10-j1	s10-quarry-to-city.html	footage	1	3	459	197.49	2.3
new-s10-def	s10-quarry-to-city.html	footage	3	3	459	47.4	9.7
new-s10-def2	s10-quarry-to-city.html	footage	3	3	459	47.69	9.6
old-p2-def	s2-1776-origin.html	editorial	3	3	277	54.22	5.1
new-p2-def	s2-1776-origin.html	editorial	3	3	277	15.23	18.2
old-s5-j1	s5-empty-city-rumours.html	footage	1	5	784	386.76	2
new-s5-def	s5-empty-city-rumours.html	footage	4	5	784	87.06	9
old-s10-def	s10-quarry-to-city.html	footage	3	3	459	224.8	2
new2-s10-def	s10-quarry-to-city.html	footage	3	3	459	46.44	9.9
new2-s10-def2	s10-quarry-to-city.html	footage	3	3	459	46.41	9.9
new2-s5-def	s5-empty-city-rumours.html	footage	4	5	784	85.57	9.2
new2-p2-def	s2-1776-origin.html	editorial	3	3	277	15.7	17.6
